name,category,link
ChatGPT,"AI, IT",https://openai.com/blog/chatgpt
Jasper AI,"AI, Text",https://www.jasper.ai
Synthesia,"AI, Video, Voice",https://www.synthesia.io
DoNotPay,"AI, Lawyer",https://donotpay.com
Dall E-2,"AI, Image",https://openai.com/product/dall-e-2
Repurpose,"AI, Automation, Social Media",https://repurpose.io
Jenni AI,"AI, Text",https://jenni.ai
Fireflies,"AI, Notetaker",https://fireflies.ai
Murf,"AI, Text, Voice",https://murf.ai
Timely,"AI, Timer",https://timelyapp.com
Quillbot,"AI, Text",https://quillbot.com
Kuki,"AI, Chatbot",https://www.kuki.ai
Copy AI,"AI, Text",https://www.copy.ai
Mailmentor,"AI, Email",https://www.mailmentor.io
Andi AI,"AI, Assistant",https://andisearch.com


Udemy,"Education",https://www.udemy.com
Replit,"Education, IT, Cloud, IDE",https://replit.com
Github,"IT, Cloud",https://github.com
Sololearn,"Education, IT, Cloud, IDE",https://www.sololearn.com

Sublime Text,"IT, IDE",https://www.sublimetext.com
Visual Studio Code,"IT, IDE",https://code.visualstudio.com
Visual Studio,"IT, IDE",https://visualstudio.microsoft.com
Unity,"IT, IDE",https://unity.com
Unreal Engine,"IT, IDE",https://www.unrealengine.com

MongoDB,"Database",https://www.mongodb.com
MySQL,"Database",https://www.mysql.com
Heroku,"Cloud, Database",https://www.heroku.com
Firebase,"Cloud, Database",https://firebase.google.com